question,intent,role,entities,category,expected_response
"also, how is the password stored",out_of_scope_technical,student,,General,"I'm the Campus HelpDesk assistant, so I only help with college services — attendance, marks, fees, exams, certificates, library, notices and the like. I can't discuss how the portal is built or maintained. If something on the portal isn't working, report it to the Admin Office through the Contact page."
view a submitted file,faculty_assignments_manage,faculty,,General,"You can create assignments with a title, subject, due date and maximum marks, view the submissions from your students, download what they attached, and grade each submission with marks and remarks."
"good morning, rules for internal assessment",knowledge_base_query,applicant,,General,"I can search the college knowledge base — regulations, handbooks, academic rules, placement policy and FAQs — and answer with the relevant section, citing the document it came from."
late fees amount,fees_due_date,parent,,Fees,Your fee record carries a due date and a late fine amount. If payment goes past the due date the late fine applies. I can tell you the due date on your record; it is also shown on the Fees page.
when will Compiler Design marks be published,results_status,student,subject=Compiler Design,Marks,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
when will my payment be confimed,fees_verification,student,,Fees,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
how should i record absentees,faculty_mark_attendance,faculty,,Attendance,"From the faculty portal you can mark attendance for a class you are assigned to — choosing the subject, date and section, and setting each student to Present, Absent or Late. You can also do it in bulk for the whole class."
what are stuents asking most,admin_analytics,admin,,General,"The admin analytics view covers portal usage and the assistant itself — query volume, intent distribution, match rate, response latency, peak usage hours, thumbs-up/down feedback and the most-accessed knowledge documents."
account supsended,account_status,faculty,,General,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
edit an existing timetable,admin_manage_timetable,admin,,General,"You build a timetable per department, semester, section and academic year, with the period slots and the subject in each. It starts as a draft, can be checked for clashes, then published so students and faculty see it, and archived when superseded."
how many periods do i have on Thursday,timetable_weekly,student,day=Thursday,General,"I can show your full published weekly timetable for your department, semester and section, with the period slots and the subject in each. Draft timetables are not visible until an admin publishes them."
"hi there, can i register for two events",events_register,student,,General,"You register for an event from the Events page. Seats are capped — if the cap is reached you'll be told the event is full, and you can't register twice for the same event. You can also unregister if you change your mind."
what do you know,bot_capabilities,visitor,,General,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
am i ready for placements,placement_readiness,student,,Placements,"Your placement readiness score weights Academics (CGPA) 40%, Technical Skills 25%, Attendance 20% and Projects 15%, and comes with a risk level. I can show the breakdown and what to strengthen first."
how many studnets are in my class,faculty_my_classes,faculty,,General,"Your faculty dashboard lists the subjects assigned to you with the department, semester, section and batch, the students in each class, and your teaching timetable."
thats all i needed,thanks_goodbye,student,,General,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
what time does the semester end,academic_calendar,faculty,,General,"The academic calendar lists holidays, exam windows, deadlines, semester boundaries and events with their dates. I can tell you what is coming up; the full calendar is on the Calendar page."
translate this to tamil,fallback_unsupported,student,,General,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
is the libary available in the evening,library_hours,student,,General,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
practical class schedule,exam_practicals,student,,Exams,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
notices for semester 4,notice_search,student,semester=4,General,"Notices are categorised as exam, fee, general, urgent or holiday. I can find notices in a category or matching a topic, and give you the summary, key dates and action items from it."
"also, update theory start date",admin_publish_exam,admin,,Exams,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
is there a fine on that,library_borrowed,faculty,,General,"I can list the books you currently have on loan with their borrowed date, due date and status — Active, Returned or Overdue. Your loans are shown on the Library page."
what skills am i missing,placement_skills,student,,Placements,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
od request for a hackathon,od_request,student,leave_type=On Duty (OD) – Event,General,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
how do i put in for a scholarship,scholarship_info,student,,Scholarships,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
"please tell me, transport details",transport_info,student,,Transport,"Transport information comes from the college knowledge base documents. There is no bus-pass or route booking module in the portal — I can share what the uploaded transport documents say, and for route or pass queries you should contact the Admin Office."
what does the handbook say about leave,knowledge_base_query,student,,General,"I can search the college knowledge base — regulations, handbooks, academic rules, placement policy and FAQs — and answer with the relevant section, citing the document it came from."
is that below the cutoff,attendance_shortage,student,,Attendance,"I compare your attendance against the 75% minimum and flag any subject you have fallen short in. Below 75% is high risk, 75-85% is medium and above 85% is low risk. If you are short, the Attendance page shows how many sessions you need to recover, and you should raise it with your class advisor."
"excuse me, my borrowed list",library_borrowed,faculty,,General,"I can list the books you currently have on loan with their borrowed date, due date and status — Active, Returned or Overdue. Your loans are shown on the Library page."
"also, knowledge base management",admin_knowledge_manage,admin,,General,"You manage the knowledge base from the admin portal — adding regulations, handbooks, academic rules, placement policy, faculty info and FAQs under categories including Admissions, Attendance, Marks, Exams, Fees, Placements, Faculty, Hostel, Transport and Scholarships. Published documents become answerable by the assistant."
where is the hod cabin,faculty_hod,student,,Faculty,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
unpublish a circular,admin_publish_notice,admin,,General,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
what's the response format of the api,out_of_scope_technical,admin,,General,"I'm the Campus HelpDesk assistant, so I only help with college services — attendance, marks, fees, exams, certificates, library, notices and the like. I can't discuss how the portal is built or maintained. If something on the portal isn't working, report it to the Admin Office through the Contact page."
give me some examples of questions,bot_capabilities,student,,General,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
when is my Machine Learning homework due,coursework_assignments,student,subject=Machine Learning,General,"I can list the assignments your faculty have posted for your department, semester and section — with the title, subject, due date and maximum marks — and tell you whether you have submitted. You submit text or a file attachment from the Coursework page; faculty then grade it and add remarks."
product based companies visiting,placement_companies,student,,Placements,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
is my fee fully paid,fees_balance,student,,Fees,"I can show your fee record for the semester — the component-wise breakdown, the total, how much is paid, the outstanding balance, the due date and any late fine. The full statement is on the Fees page."
who exactly should i write to,contact_department,student,,General,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
how do i mark a notice ugent,admin_publish_notice,admin,,General,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
"kindly let me know, how do i deploy this application",out_of_scope_technical,student,,General,"I'm the Campus HelpDesk assistant, so I only help with college services — attendance, marks, fees, exams, certificates, library, notices and the like. I can't discuss how the portal is built or maintained. If something on the portal isn't working, report it to the Admin Office through the Contact page."
is my account still valid,account_status,student,,General,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
can i get a hostel room,hostel_info,parent,,Hostel,"Hostel information is available only through the college knowledge base documents. There is no hostel booking or room allocation module in the portal — I can share what the uploaded hostel documents say, and for anything else you should contact the Admin Office or Student Welfare."
key dates in the recent announcement,notice_search,student,,General,"Notices are categorised as exam, fee, general, urgent or holiday. I can find notices in a category or matching a topic, and give you the summary, key dates and action items from it."
btw greetings,greeting,student,,General,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
and what was it last semester,cgpa_query,student,department=IT,Marks,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
how to contact the college,contact_department,alumni,,General,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
mark a certificate ready for collection,admin_process_requests,admin,,General,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
show a particular student's detalis,faculty_my_classes,faculty,,General,"Your faculty dashboard lists the subjects assigned to you with the department, semester, section and batch, the students in each class, and your teaching timetable."
"one more thing, how can you help me",bot_capabilities,visitor,,General,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
show me the test dates,exam_schedule,student,,Exams,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
is there a canpus tour,visitor_campus_info,visitor,,General,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
studnet approval workflow,admin_approve_students,admin,,General,"New self-registrations arrive as Pending in the admin portal. You can approve them, which lets the student log in, or reject them with a reason. Every decision is recorded with your name and the timestamp."
fee verification quwue,admin_verify_fees,admin,,Fees,"Payments students record show up unverified. From the admin fee view you check each against the bank record and mark it verified, which updates the student's balance. You can also see every student's fee status."
has my timetable changed,timetable_weekly,student,,General,"I can show your full published weekly timetable for your department, semester and section, with the period slots and the subject in each. Draft timetables are not visible until an admin publishes them."
rgeistration closed,events_register,student,,General,"You register for an event from the Events page. Seats are capped — if the cap is reached you'll be told the event is full, and you can't register twice for the same event. You can also unregister if you change your mind."
display every payment i made,fees_history,parent,,Fees,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
is there a registration fee,events_register,student,,General,"You register for an event from the Events page. Seats are capped — if the cap is reached you'll be told the event is full, and you can't register twice for the same event. You can also unregister if you change your mind."
am i able to change my bus route,transport_info,student,,Transport,"Transport information comes from the college knowledge base documents. There is no bus-pass or route booking module in the portal — I can share what the uploaded transport documents say, and for route or pass queries you should contact the Admin Office."
"hi, edit parent information",profile_update,student,,General,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
