question,intent,role,entities,expected_response
exam schedule,exam_schedule,student,,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
reactivate my account,account_status,faculty,skill=React,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
what technical skills do i want,placement_skills,student,event_category=Technical,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
set an expiry date for a notice,admin_publish_notice,admin,,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
what is the endpoint to fetch marks,out_of_scope_technical,admin,,"I'm the Campus HelpDesk assistant, so I only help with college services — attendance, marks, fees, exams, certificates, library, notices and the like. I can't discuss how the portal is built or maintained. If something on the portal isn't working, report it to the Admin Office through the Contact page."
i am sick is it possible to apply for leave,leave_apply,student,department=IT,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
target exam schedual to a department,admin_publish_exam,admin,,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
attendance summary for me,attendance_check,student,,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
btw what role does Infosys offer,placement_companies,parent,company=Infosys,"The placement catalogue covers recruiters including TCS, Wipro, Capgemini, Infosys, Cognizant, Accenture, Zoho, Freshworks, Amazon and Microsoft, with the role, sector, CTC and eligibility gates for each. I can also rank the best matches for your profile."
do i have class today,timetable_today,student,,"I can show today's class schedule for your department, semester and section from the published timetable, including the period slots and subjects. Open the Timetable page for the day view."
put in on duty,od_request,student,leave_type=On Duty (OD) – Event,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
how do i change my phone numbre,profile_update,student,,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
"i wanted to ask, target a notice to one department",admin_publish_notice,admin,,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
"please tell me, former student certificate request",alumni_records,alumni,,"There is no separate alumni login — the portal serves current students, faculty and staff. For a Provisional Certificate, a Transfer Certificate or a duplicate marksheet after graduation, contact the Admin Office through the Contact page and they will process it for you."
where is the lecturer login,login_help,student,,"Everyone signs in at the single login page using their registered email or ID and password — the portal detects whether you are a student, faculty member or administrator and takes you to the right dashboard. After 10 failed attempts the account is locked for 15 minutes."
studnet od requests,faculty_approve_leave,faculty,leave_type=On Duty (OD) – Event,"Leave and OD applications from students appear in your faculty portal, where you can approve or reject them and add remarks. Your decision and name are recorded against the application."
contact details of accounts office,contact_department,applicant,office=Accounts Office,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
"hey, which students can see my notes",faculty_materials_upload,faculty,,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
how do i upload a knowledge document,admin_knowledge_manage,admin,,"You manage the knowledge base from the admin portal — adding regulations, handbooks, academic rules, placement policy, faculty info and FAQs under categories including Admissions, Attendance, Marks, Exams, Fees, Placements, Faculty, Hostel, Transport and Scholarships. Published documents become answerable by the assistant."
"just checking, alumni login",alumni_records,alumni,,"There is no separate alumni login — the portal serves current students, faculty and staff. For a Provisional Certificate, a Transfer Certificate or a duplicate marksheet after graduation, contact the Admin Office through the Contact page and they will process it for you."
"good morning, are you online",greeting,student,payment_mode=Online,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
"one more thing, change the status of a request",admin_process_requests,admin,,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
book reneewal confirmation,library_renew,faculty,,You can request a renewal for a borrowed book from the Library page. The system records the request and the librarian confirms it within 24 hours.
my request referrnce number,request_status,alumni,,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
"i wanted to ask, nice, thank you",thanks_goodbye,student,,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
"hi, am i placement ready",placement_readiness,student,,"Your placement readiness score weights Academics (CGPA) 40%, Technical Skills 25%, Attendance 20% and Projects 15%, and comes with a risk level. I can show the breakdown and what to strengthen first."
studnet fee report,admin_verify_fees,admin,,"Payments students record show up unverified. From the admin fee view you check each against the bank record and mark it verified, which updates the student's balance. You can also see every student's fee status."
"one more thing, can i upload a question bank",faculty_materials_upload,faculty,,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
hey there,greeting,admin,,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
am i short of attendance,attendance_shortage,student,,"I compare your attendance against the 75% minimum and flag any subject you have fallen short in. Below 75% is high risk, 75-85% is medium and above 85% is low risk. If you are short, the Attendance page shows how many sessions you need to recover, and you should raise it with your class advisor."
"just checking, am i eligible with one backlog",backlog_query,student,grade=RA,"A subject with grade RA (grade point 0, total below 50) counts as a backlog. I can tell you how many backlogs you currently have and which subjects they are in — this also affects placement eligibility, since most recruiters allow zero or at most one backlog."
"hello, where can i read the college policy",knowledge_base_query,student,,"I can search the college knowledge base — regulations, handbooks, academic rules, placement policy and FAQs — and answer with the relevant section, citing the document it came from."
when will my payment be confirmed,fees_verification,student,,"Every payment you record starts as unverified. The Accounts Office checks it against the bank record and marks it verified, after which your balance reflects it. If a payment has been sitting unverified, contact the Accounts Office through the Contact page."
how long does approval take,registration_approval,applicant,,"When you register, a student account is created with a Pending status and no login is issued yet. An administrator has to approve it before you can sign in. You'll be able to log in as soon as the approval goes through."
exam dates,exam_schedule,student,,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
"madam, i need help",bot_capabilities,student,,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
sgpa for this sem,cgpa_query,student,,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
"hey, book a cab",fallback_unsupported,student,,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
"can you help me, office working hours",visitor_campus_info,visitor,,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
do i need proof for medical leave,leave_apply,student,leave_type=Medical Leave,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
timetable not visible to studnets,admin_manage_timetable,admin,,"You build a timetable per department, semester, section and academic year, with the period slots and the subject in each. It starts as a draft, can be checked for clashes, then published so students and faculty see it, and archived when superseded."
scurity log,admin_audit_log,admin,,"Administrative actions are written to a tamper-evident audit log with the actor, action, entity, a contextual snapshot, a timestamp and a hash chain. You can review it from the admin portal."
"one more thing, how to get my marksheet",certificate_request,student,certificate_type=Marksheet,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
exam publishing workflow,admin_publish_exam,admin,,"You create an exam record for a semester and academic year with theory dates, the paper-by-paper schedule, practicals, a hall ticket availability date and instructions. Students see it only after you publish it, and you can archive it later."
how do i upload study material,faculty_materials_upload,faculty,,"You can upload study materials — notes, question banks or reference files — against a subject, department, semester and section, and your students can then download them from their Coursework page."
are my results out,results_status,student,,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
"kindly let me know, sc st scholarship",scholarship_info,applicant,,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
"also, how many students are awaiting approval",admin_approve_students,admin,,"New self-registrations arrive as Pending in the admin portal. You can approve them, which lets the student log in, or reject them with a reason. Every decision is recorded with your name and the timestamp."
update profile pcture,profile_update,faculty,,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
show my fee teansactions,fees_history,student,,"Your fee record keeps a payment history — each entry has the date, description, amount, mode, transaction reference and whether it has been verified. You can view the full history on the Fees page."
sorry to bother you but i need on duty for a symposium,od_request,student,leave_type=On Duty (OD) – Event,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
"please tell me, is the hod available",faculty_hod,visitor,,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
how many bpoks do i have,library_borrowed,faculty,,"I can list the books you currently have on loan with their borrowed date, due date and status — Active, Returned or Overdue. Your loans are shown on the Library page."
which subject exam is on Saturday,exam_schedule,student,day=Saturday,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
what is the grade point for O,cgpa_query,student,,"I calculate your CGPA as the credit-weighted average of your grade points across all recorded subjects, on the Anna University 10-point scale (O=10, A+=9, A=8, B+=7, B=6, RA=0). Your CGPA and semester-wise GPA are on the CGPA page."
"actually, add a policy to the knowledge base",admin_knowledge_manage,admin,,"You manage the knowledge base from the admin portal — adding regulations, handbooks, academic rules, placement policy, faculty info and FAQs under categories including Admissions, Attendance, Marks, Exams, Fees, Placements, Faculty, Hostel, Transport and Scholarships. Published documents become answerable by the assistant."
where do i stand academically,performance_summary,student,,"Your Student Success Score is out of 100 and combines attendance health, academic performance (CGPA and backlogs), placement readiness and engagement. I can give you the score, the sub-scores and the top recommendation for improving it. It's on your dashboard."
when do semester exams end,exam_schedule,student,,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
"actually, admission enquiry",admission_enquiry,applicant,,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
whats the meaning of life,fallback_unsupported,parent,,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
what certificates am i able to apply for,certificate_request,student,,"You can request a Bonafide Certificate, Transfer Certificate, Migration Certificate, Conduct Certificate, Provisional Certificate, a Marksheet or another document from the Requests page, stating the purpose and an urgency of Normal, Urgent or Emergency. Each request gets a unique reference number."
"can you help me, who raised this request",admin_process_requests,admin,,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
what database do you use,out_of_scope_technical,student,,"I'm the Campus HelpDesk assistant, so I only help with college services — attendance, marks, fees, exams, certificates, library, notices and the like. I can't discuss how the portal is built or maintained. If something on the portal isn't working, report it to the Admin Office through the Contact page."
what about technical ones,events_list,student,event_category=Technical,"I can list upcoming campus events with their category — Technical, Cultural, Sports, Workshop or Seminar — plus the date, time, venue, organizer and how many seats are left. The Events page has the full list."
my marks for Machine Learning,marks_view,student,subject=Machine Learning,"I can show your internal marks (out of 40), external marks (out of 60) and the total out of 100 for each subject, along with the grade. The pass mark is 50. Marks a faculty member has entered stay hidden until they are published. See the Results page for the full mark sheet."
"madam, backlog",backlog_query,student,grade=RA,"A subject with grade RA (grade point 0, total below 50) counts as a backlog. I can tell you how many backlogs you currently have and which subjects they are in — this also affects placement eligibility, since most recruiters allow zero or at most one backlog."
have the results been published,results_status,student,,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
"kindly let me know, has my document been processed",request_status,alumni,,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
practical exam date for semester 4,exam_practicals,student,semester=4,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
and the theory papers,attendance_subject_wise,student,,"I can break your attendance down subject by subject and show which subject is lowest, since the 75% rule applies per subject. The subject-wise table is on the Attendance page."
"hi, are you acailable",greeting,visitor,,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
reject a document request,admin_process_requests,admin,,"Document requests come in as Submitted and you move them through Under Review, Processing, Ready for Collection and Completed, or Reject them with remarks. Each has a unique reference number and the student is notified of the change."
i passed out in 2023 and need documents,alumni_records,alumni,,"There is no separate alumni login — the portal serves current students, faculty and staff. For a Provisional Certificate, a Transfer Certificate or a duplicate marksheet after graduation, contact the Admin Office through the Contact page and they will process it for you."
result date,results_status,student,,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
"kindly let me know, hi",greeting,parent,,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
"sir, can i get a password reset link",password_reset,student,,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
"sir, who won the match yesterday",fallback_unsupported,visitor,,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
btw class timings for today,timetable_today,student,,"I can show today's class schedule for your department, semester and section from the published timetable, including the period slots and subjects. Open the Timetable page for the day view."
show my assignments,coursework_assignments,student,,"I can list the assignments your faculty have posted for your department, semester and section — with the title, subject, due date and maximum marks — and tell you whether you have submitted. You submit text or a file attachment from the Coursework page; faculty then grade it and add remarks."
what amount of did i get in Discrete Mathematics,marks_view,student,subject=Discrete Mathematics,"I can show your internal marks (out of 40), external marks (out of 60) and the total out of 100 for each subject, along with the grade. The pass mark is 50. Marks a faculty member has entered stay hidden until they are published. See the Results page for the full mark sheet."
sorry to bother you but how do i join this college,admission_enquiry,applicant,,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
when are internals scheduled,exam_schedule,student,,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
can you show my semester marks,marks_view,student,,"I can show your internal marks (out of 40), external marks (out of 60) and the total out of 100 for each subject, along with the grade. The pass mark is 50. Marks a faculty member has entered stay hidden until they are published. See the Results page for the full mark sheet."
"hey, do you have an aiml course",departments_list,student,department=AIML,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
"hi, is there a hostel",hostel_info,student,,"Hostel information is available only through the college knowledge base documents. There is no hostel booking or room allocation module in the portal — I can share what the uploaded hostel documents say, and for anything else you should contact the Admin Office or Student Welfare."
"can you help me, when does admission start",admission_enquiry,applicant,,"The portal doesn't have an online admissions module — it serves enrolled students, faculty and staff. Any admissions information we hold comes from the college knowledge base documents, and admission enquiries should go to the Admin Office through the Contact page."
reset passwrd for my account,password_reset,faculty,,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
what was it last semester,attendance_check,student,department=IT,"I can show your overall attendance percentage, calculated across every session recorded for you (Late is counted as present). The college requires a minimum of 75% per subject. Full details are on the Attendance page of your student portal."
how do i see my class roster,faculty_my_classes,faculty,,"Your faculty dashboard lists the subjects assigned to you with the department, semester, section and batch, the students in each class, and your teaching timetable."
make a document searchanle,admin_knowledge_manage,admin,,"You manage the knowledge base from the admin portal — adding regulations, handbooks, academic rules, placement policy, faculty info and FAQs under categories including Admissions, Attendance, Marks, Exams, Fees, Placements, Faculty, Hostel, Transport and Scholarships. Published documents become answerable by the assistant."
show my profile,profile_view,student,,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
can i pay in cash,fees_payment,parent,payment_mode=Cash,"You record a payment from the Fees page by entering the amount, the mode (Online, DD, Cash or NEFT) and the transaction reference. That creates an entry in your payment history which the Accounts Office then verifies. The portal records payments — it does not process them through a payment gateway."
how do i enter marks,faculty_enter_marks,faculty,,You enter internal marks (out of 40) and external marks (out of 60) for your assigned subjects; the grade and grade point are computed automatically. Marks stay hidden from students until you publish them.
"kindly let me know, when does the Data Structures lab exam happen",exam_practicals,student,skill=Data Structures;subject=Data Structures,"The published exam record lists practical exams separately with the date, subject, lab and time. You'll find the practicals table alongside the theory schedule on the Exam page."
what catrgory gets the most questions,admin_analytics,admin,,"The admin analytics view covers portal usage and the assistant itself — query volume, intent distribution, match rate, response latency, peak usage hours, thumbs-up/down feedback and the most-accessed knowledge documents."
"i wanted to ask, how do i register",registration_approval,student,,"When you register, a student account is created with a Pending status and no login is issued yet. An administrator has to approve it before you can sign in. You'll be able to log in as soon as the approval goes through."
mark attendance for my class,faculty_mark_attendance,faculty,,"From the faculty portal you can mark attendance for a class you are assigned to — choosing the subject, date and section, and setting each student to Present, Absent or Late. You can also do it in bulk for the whole class."
how do i apply for leave,leave_apply,student,,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
hall ticket for semester 1,exam_hall_ticket,student,semester=1,"The published exam record carries a hall ticket availability date. Once that date arrives, the hall ticket becomes available on the Exam page. Hall tickets are usually withheld if there is a pending fee balance or an attendance shortage, so clear those first."
"hello, tell me a joke",fallback_unsupported,visitor,,"I couldn't match that to anything the portal handles. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts, your profile and placements. For anything else, the Contact page will reach the right office and you'll get a reply within 1-2 working days."
scholarship eligibbility,scholarship_info,student,,"Scholarship information is available from the college knowledge base documents. There is no scholarship application module in the portal — I can share what the uploaded scholarship documents say, and applications are handled by the Admin Office. Note that a Bonafide Certificate for a scholarship application can be requested from the Requests page."
my studnet information,profile_view,student,,"Your profile holds your name, student ID, email, department, year, semester, section, phone, photo and your parent/guardian details. You can view it all on the Profile page."
"madam, campus map",visitor_campus_info,visitor,,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
no more questions,thanks_goodbye,faculty,,"You're welcome! Come back any time you need help with attendance, fees, exams, certificates or anything else on the portal."
what credenttials do i use to log in,login_help,parent,,"Everyone signs in at the single login page using their registered email or ID and password — the portal detects whether you are a student, faculty member or administrator and takes you to the right dashboard. After 10 failed attempts the account is locked for 15 minutes."
on duty application,od_request,student,leave_type=On Duty (OD) – Event,"On Duty is applied for as a leave type — either On Duty (OD) – Event or On Duty (OD) – Training — from the OD page, with dates, a reason and a supporting document. Approved OD is recorded against your leave record."
customize my pirtal,settings_help,admin,,The Settings page is where you change your password and manage your account preferences while signed in.
did the hod approve my leave,leave_status,student,,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
are marks updated,results_status,student,,"Results appear once a faculty member publishes the marks they entered; until then they stay hidden. If a subject is missing from your results page, the marks have not been published yet — check the Notices page for the result announcement or contact the Examination Cell."
can't i reset it myself,password_reset,faculty,department=IT,"There is no self-service password reset in the portal. If you are locked out, contact the college Admin Office and they will reset it for you. If you are already signed in, you can change your password yourself from the Settings page."
check my library account,library_borrowed,faculty,office=Library,"I can list the books you currently have on loan with their borrowed date, due date and status — Active, Returned or Overdue. Your loans are shown on the Library page."
available branxhes,departments_list,student,,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
how do i upload my payment receipt,fees_payment,student,,"You record a payment from the Fees page by entering the amount, the mode (Online, DD, Cash or NEFT) and the transaction reference. That creates an entry in your payment history which the Accounts Office then verifies. The portal records payments — it does not process them through a payment gateway."
what is the exam schedule for semester 7,exam_schedule,student,semester=7,"I can give you the published exam schedule for your semester — the theory start and end dates, and the date, subject code and session for each paper. Only published schedules are visible. The Exam page has the full table plus the instructions."
"please tell me, account deactivated",account_status,faculty,,"An account can be pending approval, approved, rejected with a reason, or deactivated. If your account has been rejected or deactivated you'll see the reason at login — contact the Admin Office to have it reviewed."
bus route number,transport_info,applicant,,"Transport information comes from the college knowledge base documents. There is no bus-pass or route booking module in the portal — I can share what the uploaded transport documents say, and for route or pass queries you should contact the Admin Office."
"hi there, what is my chance of getting placed",placement_readiness,student,,"Your placement readiness score weights Academics (CGPA) 40%, Technical Skills 25%, Attendance 20% and Projects 15%, and comes with a risk level. I can show the breakdown and what to strengthen first."
how do i pin a circular,admin_publish_notice,admin,,"You create a notice with a title, content, category and audience. It can be saved as a draft, published, pinned to the top, given an expiry date, or archived. The summarizer generates a summary, key dates, action items and a priority for it."
give me the fee refund policy,knowledge_base_query,applicant,,"I can search the college knowledge base — regulations, handbooks, academic rules, placement policy and FAQs — and answer with the relevant section, citing the document it came from."
when do classes reopen,academic_calendar,student,,"The academic calendar lists holidays, exam windows, deadlines, semester boundaries and events with their dates. I can tell you what is coming up; the full calendar is on the Calendar page."
"sir, hey there",greeting,student,,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
deactivate a studnet account,admin_approve_students,admin,,"New self-registrations arrive as Pending in the admin portal. You can approve them, which lets the student log in, or reject them with a reason. Every decision is recorded with your name and the timestamp."
who should i approch as hod,faculty_hod,student,,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
how many skills do i have,placement_skills,student,,"I compare the skills on your profile against the skills recruiters screen for, grouped as Programming, CS Fundamentals, Web & Cloud, and Aptitude & Soft skills, and show your coverage plus the gaps to close."
show latest notices,notices_latest,student,,"I can show the latest published notices, with pinned ones first. Each notice carries a category, an AI-generated summary, key dates and action items. The full list is on the Notices page."
academic schedule for this year,academic_calendar,student,,"The academic calendar lists holidays, exam windows, deadlines, semester boundaries and events with their dates. I can tell you what is coming up; the full calendar is on the Calendar page."
how should i upload a profile photo,profile_update,student,,"You can update your phone number, photo and parent/guardian details from the Profile page. Core academic fields like your student ID, department and semester are maintained by the administration — contact the Admin Office to have those corrected."
find books by an author,library_search,faculty,,"I can search the library catalogue by title, author or category and tell you whether a copy is Available, Borrowed or Reserved, along with the number of copies. Browse the full catalogue on the Library page."
"actually, how do i meet the hod",faculty_hod,parent,,"I can identify the Head of Department for your department — or for any department you name — with their designation, email and office location."
marks details,marks_view,student,,"I can show your internal marks (out of 40), external marks (out of 60) and the total out of 100 for each subject, along with the grade. The pass mark is 50. Marks a faculty member has entered stay hidden until they are published. See the Results page for the full mark sheet."
"madam, where do i apply for leave",leave_apply,student,,"You apply for leave from the Leave page by choosing the type — Medical Leave, Personal Leave, Emergency Leave or Family Function — with the from and to dates, a reason, and an optional supporting document. The to date cannot be earlier than the from date. It is submitted as Pending for approval."
what services do you provide,bot_capabilities,visitor,,"I'm the Campus HelpDesk assistant. I can answer questions about attendance, marks, CGPA and backlogs, timetable, exam schedules and hall tickets, fees and payments, leave and OD, certificate requests, library books and hours, notices, events, faculty and HOD contacts, your profile, placement readiness and eligibility, and the college knowledge base. I answer from your own records, so sign in first."
is the library available in the evenig,library_hours,visitor,office=Library,The library is open Monday to Friday from 8:00 AM to 6:00 PM and on Saturday from 9:00 AM to 4:00 PM. It is closed on Sundays and holidays.
"sir, status of my marksheet request",request_status,student,certificate_type=Marksheet,"Your document request moves through Submitted, Under Review, Processing, Ready for Collection and then Completed — or Rejected, with remarks. Track it by its reference number on the Status page."
"just checking, tell me about the departments",departments_list,student,,"The college has departments including Information Technology, Computer Science and Engineering, Artificial Intelligence and Machine Learning, Artificial Intelligence and Data Science, Bioinformatics, Electronics and Communication, Electrical and Electronics, Mechanical and Civil Engineering."
which department students do i teach,faculty_my_classes,faculty,,"Your faculty dashboard lists the subjects assigned to you with the department, semester, section and batch, the students in each class, and your teaching timetable."
where do i find my account opions,settings_help,student,,The Settings page is where you change your password and manage your account preferences while signed in.
"hello, i want some help",greeting,student,,"Hello! I'm Campus HelpDesk, your college assistant. I can help with attendance, marks and CGPA, timetable, exams, fees, leave and OD, certificates, library, notices, events, faculty contacts and placements. What would you like to know?"
whom should i approach for my problem,contact_department,student,,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
i would like to raise a complaint,contact_department,alumni,,"You can send a message to the Admin Office, Examination Cell, Accounts Office, Student Welfare, Library, HOD – IT Department or HOD – CSE Department from the Contact page. You'll receive a response within 1-2 working days."
give me all my leave requests,leave_status,student,,"Every leave application is Pending until it is approved or rejected, and the approver can add remarks. I can tell you the current status of your applications; the list is on the Leave page."
"good morning, which bus goes to my area",transport_info,student,,"Transport information comes from the college knowledge base documents. There is no bus-pass or route booking module in the portal — I can share what the uploaded transport documents say, and for route or pass queries you should contact the Admin Office."
what's the cgpa cutoff for Freshworks,placement_eligibility,student,company=Freshworks,"Recruiter eligibility is checked against your CGPA, attendance percentage and backlog count. I can tell you which companies you currently qualify for and, for the ones you don't, exactly which criterion falls short."
"please tell me, can outsiders use the library",visitor_campus_info,visitor,office=Library,"I mainly serve signed-in students, faculty and staff. For general enquiries — visiting the campus, meeting a department or reaching an office — you can use the Contact page to message the Admin Office, and the library is open Monday to Friday 8:00 AM to 6:00 PM and Saturday 9:00 AM to 4:00 PM."
